date,place_value,placeLatitude,placeLongitude,topic,chi_squared
2015-08-28,36.0,45.8333,6.814539999999999,whatdoyoumean,96792.15939733577
2015-08-29,74.0,47.3774,8.536760000000001,ondespositives,2242063.525293191
2015-08-30,13.0,47.6957,9.57039,sheskindahotvma,3196684.517942929
2015-08-31,19.0,47.7218,7.2827399999999995,psypatibong,21192.565695231544
2015-09-01,20.0,47.7197,7.24026,ifa2015,51227.8196872234
2015-09-02,62.0,47.6357,6.909730000000001,passeggiando,207354.82735162112
2015-09-03,21.0,46.2048,6.14319,forom2015,248387.97228404382
2015-09-04,43.0,45.8584,9.07347,porfra,3928373.087839752
2015-09-05,10.0,47.3774,8.536760000000001,eair15,2053748.2082135428
2015-09-06,27.0,46.8031,7.159619999999999,followmenash,3142.2934669429965
2015-09-07,17.0,47.201,5.9408199999999995,ectmih2015,1108075.0605265033
2015-09-08,7.0,46.1809,9.86092,ectmih2015,227767.0389018068
2015-09-09,3.0,47.1907,5.97854,maparole,2744857.4207666856
2015-09-10,23.0,47.0408,8.317210000000001,xf9,856349.5929339252
2015-09-11,27.0,47.7218,7.2827399999999995,neverforget911,693573.1856871764
2015-09-12,34.0,46.3789,6.5682100000000005,tusiquevales,108296.879858441
2015-09-13,26.0,47.7124,9.63176,سيلفي_النجوم,383453.0180929734
2015-09-14,23.0,46.0404,6.546530000000001,hrc30,1111047.5217349
2015-09-15,94.0,46.0027,8.96044,tyleroakley,3974899.4050947404
2015-09-16,26.0,46.5287,6.652080000000001,jep2015,254855.2352741336
2015-09-17,23.0,46.9543,7.39491,shareacoke,3816112.7736354074
2015-09-18,103.0,45.8835,8.517669999999999,1dsupermania,1676122.5199274234
2015-09-19,8.0,46.0404,6.546530000000001,aldubmostawaiteddate,477496.2427405425
2015-09-20,15.0,47.1085,8.529639999999999,omol,154625.68104350826
2015-09-21,45.0,46.2465,6.133030000000001,peaceday,23032.80840703497
2015-09-22,16.0,46.9543,7.39491,cufi,656580.3301937002
2015-09-23,6.0,47.1226,10.4924,hiring,681.0443604945757
2015-10-23,67.0,47.5385,8.4547,dominion,4808710.48870192
2015-10-24,770.0,47.298,7.89005,dominion,1214961.4822214353
2015-10-25,573.0,47.298,7.89005,psythanksgivingtour,19923347.153805297
2015-10-26,456.0,47.298,7.89005,savedominion,2047292.8611402377
2015-10-27,16.0,45.836999999999996,8.80969,psyahas,615257.0762268825
2015-10-28,1014.0,47.298,7.89005,psyenough,1206926.3337956367
2015-10-29,1473.0,47.298,7.89005,psydiego,1895750.7385965053
2015-10-30,851.0,47.298,7.89005,رائف_بدوي,3278133.7796497233
2015-10-31,263.0,47.2773,8.20624,chandelier,3284895.9808431887
2015-11-01,806.0,47.298,7.89005,psybwelta,238632.25
2015-11-02,1323.0,47.298,7.89005,psybwelta,861398.0153374638
2015-11-03,483.0,47.298,7.89005,psybulag,1180616.267545529
2015-11-04,46.0,47.4987,8.73303,psylinlang,1015951.3950949515
2015-11-05,300.0,47.298,7.89005,psywhistleblower,1186034.9941380355
2015-11-06,109.0,47.4286,8.5739,psypagyanig,1667873.5545689326
2015-11-07,31.0,47.3359,9.66572,nma2015,1323971.299285195
2015-11-08,508.0,47.298,7.89005,motogpvalencia,1079122.0692502963
2015-11-09,39.0,46.2048,6.14319,aldubmissingring,1290214.077044135
2015-11-10,707.0,47.298,7.89005,psycaloy,583369.0359327613
2015-11-11,604.0,47.298,7.89005,theoutfield,3689468.860055569
2015-11-12,600.0,47.298,7.89005,thankyouforthelove,498824211.91197836
2015-11-13,15.0,47.201,5.9408199999999995,prayforparis,6558330.818749413
2015-11-14,119.0,46.2048,6.14319,parisattacks,1914234.6054502695
2015-11-15,962.0,47.298,7.89005,psybeginagain,1611008.2153293598
2015-11-16,487.0,47.298,7.89005,psysomewheredowntheroad,809100.25
2015-11-17,18.0,45.8234,7.5636399999999995,1dch,673250015.4537508
2015-11-18,389.0,47.298,7.89005,saintdenis,2639443.9991012057
2015-11-19,693.0,47.298,7.89005,glocal15,3171501.281094002
2015-11-20,8.0,47.201,5.9408199999999995,rtp2015,1978318.8243862207
2015-11-21,22.0,47.3553,9.64485,dolphinangels,1171618.685715232
2015-11-22,101.0,46.2048,6.14319,spskrismasaya,2084528.1195551509
2015-11-23,77.0,46.2362,6.14864,cotr,328772.86769662536
2015-11-24,10.0,46.6844,7.85768,barcellonaroma,1142149.4831256245
2015-11-25,21.0,47.298,7.89005,secc15,20301245.515041955
2015-11-26,47.0,46.2362,6.14864,imthankfulfor,2944518.6592889978
2015-11-27,29.0,47.298,7.89005,blackfriday,40355.24595608102
2015-11-28,122.0,46.4536,6.935,aldubstaystrong,53696.83804415047
2015-11-29,48.0,47.298,7.89005,weloveyoucalum,4533165.415824629
2015-11-30,127.0,47.298,7.89005,cop21,16131.55176944378
2015-12-01,91.0,47.298,7.89005,zaynweareexcitedforbefour,969891.5851775942
2015-12-02,44.0,47.298,7.89005,regbfc,338591.1846707311
2015-12-03,279.0,46.2048,6.14319,psycrossroads,107036.21986595131
2015-12-04,47.0,47.298,7.89005,psypakiusap,161015.26060986207
2015-12-05,24.0,46.2048,6.14319,dasoul,134696.63350402616
2015-12-06,38.0,46.2322,6.079,selfiefornash,4904046.251184221
2015-12-07,22.0,47.4987,8.73303,tyleroakleytwittermeetup,409128.2172024771
2015-12-08,17.0,46.0002,8.74882,favmattpic,108531.55674232756
2015-12-09,43.0,46.9834,7.47185,asklox,8122091.6066816235
2015-12-10,33.0,45.8584,9.07347,psysulyap,366343.20798199903
2015-12-11,44.0,47.298,7.89005,zawards,1124447.5351218998
2015-12-12,27.0,47.403,8.13009,followmekian,1266189.8826673392
2015-12-13,36.0,47.3774,8.536760000000001,citeumfamosoquevocepegaria,679088.3367264445
2015-12-14,12.0,46.3812,6.2394300000000005,ilusiónparaalex,13349.800335368027
2015-12-15,18.0,47.2537,8.69387,psysatotoolang,141458.94611407994
2015-12-16,13.0,46.2363,6.1185,adidasneo,125528.78325770228
2015-12-17,14.0,46.2048,6.14319,tpmpnoel,95172.25
2015-12-18,22.0,47.3792,8.08434,aldubthesearch,2378683.767314585
2015-12-19,7.0,47.4763,8.22022,missfrance2016,50445422.33236267
2015-12-20,203.0,47.7085,7.39815,weareallharry,17750.38055169754
2015-12-21,18.0,46.8131,8.22414,friendstrip2,1560406.4135514162
2015-12-22,74.0,46.6379,6.6365300000000005,lyrixsession,386947.19352451887
2015-12-23,18.0,47.6206,6.78752,aldubmybebeloveparade,507896.26919719705
2015-12-24,51.0,46.5287,6.652080000000001,friendstrip2,126226.65188934804
2015-12-25,33.0,47.3774,8.536760000000001,aldubmybebelovesapasko,2247625.406045127
2015-12-26,16.0,46.2048,6.14319,20thingsiwantfor2016,569907.5069297509
2015-12-27,127.0,46.6379,6.6365300000000005,followmehayes,104850.02440678756
2015-12-28,56.0,47.3774,8.536760000000001,videomtv2015,101905.39169444771
2015-12-29,170.0,46.6379,6.6365300000000005,albetiringraziamo,655725.341549189
2015-12-30,73.0,46.5284,6.57751,italywantsshawnin2016,22052.25
2015-12-31,10.0,46.2048,6.14319,2016,138146.95217463892
2016-01-01,7.0,45.8314,6.951039999999999,happy2016,144904.00563516325
2016-01-02,99.0,46.1767,7.1501,howwelivinmusicvideo,73089.40611948013
2016-01-03,39.0,46.6725,9.54193,askawed,301208.00176900916
2016-01-04,140.0,46.2048,6.14319,bama2016platinumedition_ibtissamtiskat,3498404.110448252
2016-01-05,23.0,47.17,7.57307,bama2016platinumedition_ibtissamtiskat,2176209.700157191
2016-01-06,85.0,45.8314,8.806510000000001,befana,17738.90524999529
2016-01-07,36.0,47.1495,7.2569,jesuistoujourscharlie,640412.7181863697
2016-01-08,38.0,47.3207,8.80395,torneomimmofusco,121356.53776602265
2016-01-09,12.0,45.8002,9.08382,volley21,609921.9550057058
2016-01-10,20.0,47.7571,8.86759,magcontoitaly,105100.68315588484
2016-01-11,50.0,46.2465,6.133030000000001,welovethescript,1587502.3946601602
2016-01-12,87.0,46.2465,6.133030000000001,stk2016,310094.16387497704
2016-01-13,15.0,47.201,5.9408199999999995,makeinindia,118658.83970751052
2016-01-14,104.0,46.2048,6.14319,alanrickman,1199303.3995107703
2016-01-15,21.0,47.5077,6.81727,smarthealth,11848551.420483576
2016-01-16,35.0,46.2048,6.14319,muralpainting,55962.58875562338
2016-01-17,8.0,45.9071,8.66208,lilidaniel,10100.25
2016-01-18,60.0,46.2363,6.1185,tsob16,1194632.5732681458
2016-01-19,21.0,47.3774,8.536760000000001,btsinvietnam,1197169.7179880438
2016-01-20,56.0,46.765,9.81838,wef16,1162342.3033090455
2016-01-21,32.0,46.5089,10.2825,davoson410,1017432.7716678376
2016-01-22,190.0,46.765,9.81838,psyparakayyna,672012.1665744643
2016-01-23,60.0,47.3159,8.466289999999999,bonstetten,1474200.1605128413
2016-01-24,41.0,46.4927,10.4121,pillowtalk,2131379.728839055
2016-01-25,22.0,46.2362,6.14864,udvie,241583.1765253069
2016-01-26,41.0,47.354,8.04115,1dhistoryvideo,1137726.780431323
2016-01-27,38.0,46.2048,6.14319,eb138,89032.43534618792
2016-01-28,137.0,47.4906,6.81946,tpmpvoeux,228831115.95746812
2016-01-29,43.0,47.4356,10.4641,psynagbabaga,507760.3818627656
2016-01-30,5.0,45.8668,8.41129,plattform16,1424856.0980722695
2016-01-31,15.0,46.1809,9.86092,derbymilano,95611.60930454449
2016-02-01,6.0,45.8002,9.08382,hnpw2016,737975.0209306766
2016-02-02,213.0,46.8131,8.22414,somdig16,3596365.203018625
2016-02-03,63.0,47.354,8.04115,somdig16,83618.43846370239
